集智书童,0,0,2247498373_1,纯卷积Backbone巅峰 | MogaNet登峰造极，超越ConvNeXt、ParC-Net和SWin,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498373&idx=1&sn=1112bb17d2a09fe9aa600fbf88d6a028&chksm=feb81a3bc9cf932da540ddc355fbf5cffff1adb251e6cb57999659c2f5d20e0100f2c7cb6973#rd,1668128964,1668130020
集智书童,1,0,2247498373_2,紧跟恺明的步伐：记录一下复现行为识别slowfast模型的全流程（附详细代码）,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498373&idx=2&sn=5e0b32b3c6bc5b292cf57ffc9159f562&chksm=feb81a3bc9cf932d7afcf4265fcba45afc9021deaacb8d8fd489ab196dfac07c41d418617cc8#rd,1668128964,1668130020
集智书童,2,0,2247498373_3,《YOLOv5全面解析教程》三，IoU深入解析,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498373&idx=3&sn=53ca7803350e62fdbfc8c56476f051a5&chksm=feb81a3bc9cf932da5e2fd2050f9adf20252cadbf7cf96217a6195103e970deab0dd264fde27#rd,1668128964,1668130020
集智书童,3,0,2247498317_1,YOLO系列 | 一份YOLOX改进的实验报告，并提出更优秀的模型架构组合！,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498317&idx=1&sn=dba09189f1d63d27f0a42a0edc98e282&chksm=feb81af3c9cf93e5e297a8733b4f0aff7e642e0e99b13cb872489883491662a626f65b5cbb48#rd,1668042557,1668043620
集智书童,4,0,2247498317_2,PSA-Det3D：探究3D目标检测小尺寸解决方案,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498317&idx=2&sn=8b68fd46f4cc168bd9e618c23f22971e&chksm=feb81af3c9cf93e5e3acf65026cd96938d328ad720a4b4e47faf082f644c2c941c0060a3f0b4#rd,1668042557,1668043620
集智书童,5,0,2247498317_3,近期购买显卡建议,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498317&idx=3&sn=82414932c9077f7c6d770fe0a4894193&chksm=feb81af3c9cf93e59a6be9018ad5ceb11a2b051d3de07756660e566c3225cd3b3f64daa53635#rd,1668042557,1668043620
集智书童,6,0,2247498304_1,三行代码完成模型部署！支持云边端几十款AI硬件部署！覆盖CV、NLP、Speech（附源码）,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498304&idx=1&sn=f010672ff0ef1cf2fc5abb3f6197fdc2&chksm=feb81afec9cf93e87811c695fe8200d8fe7447a6552f2ce226c84f85867c9f0a51e3e4a9cd29#rd,1667920108,1667957400
集智书童,7,0,2247498304_2,PP-YOLOE-R | 手把手教你将PP-YOLOE用于旋转目标检测，顺带达成SOTA性能！,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498304&idx=2&sn=8f5e8d74b5af614a09fc5b07b6d3c62a&chksm=feb81afec9cf93e8f312ff1bcc8f218e955a3ab2dfdb248647c7e6ab1ca7815b9e3b87755735#rd,1667920108,1667957400
集智书童,8,0,2247498304_3,《YOLOv5全面解析教程》二，YOLOv5数据集结构解析&如何制作一个可以获得更好训练效果的数据集,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498304&idx=3&sn=78b6872f1a6ee8e0625100823d4efcda&chksm=feb81afec9cf93e8dd00622b419e1694b40130e12a3d8f5e1fdaa6c9450d37a9748dc9b7c200#rd,1667920108,1667957400
集智书童,9,0,2247498297_1,FX2TRT-Pytorch转TensorRT新方式-实践torch.fx第三篇,http://mp.weixin.qq.com/s?__biz=MzU5OTA2Mjk5Mw==&mid=2247498297&idx=1&sn=3ffaf56c51d8f5e98136aacf98f4de83&chksm=feb81a87c9cf9391625fd28fac3d8a3f418c8aa5e63b2e9818d17822e4af55f398b192c0fa66#rd,1667868858,1667871000
